doc_id,datetime,text,media,likes,reposts,replies,username,handle,user_description,user_image,user_followers,sponsored,target,condition,sequence,comment
18,3/21/2024 12:15,Dream a little dream of Pure Cool Me™. Purified air to cool you at night with our latest air projection technology. Set the sleep timer so you can keep cool and comfortable while you rest.,https://raw.githubusercontent.com/catiaalves/dice_disgust_mediation/main/9.dyson_media.jfif,32,8,3,Dyson,Dyson,We’re here to share news and updates about Dyson technology. Please tweet 'AskDyson' for customer support.,https://raw.githubusercontent.com/catiaalves/dice_disgust_mediation/main/9.dyson_user.png,91300,0,,B,8,dyson
19,3/21/2024 14:41,"Today, we reflect on the efforts we have already made to reduce our impact on the environment and focus on how we can do more.
#EverydayHeroes #WeDeliverPromises",https://raw.githubusercontent.com/catiaalves/dice_disgust_mediation/main/7.yodel_media.jfif,1,2,9,YodelOnline,Yodel,Track your parcel at http://yodel.co.uk. Download the Yodel app today and see a two-hour delivery window and a delivered image for every parcel delivered to a door.,https://raw.githubusercontent.com/catiaalves/dice_disgust_mediation/main/7.yodel_user.jpg,70700,0,,B,9,yodel
20,3/21/2024 20:12,Walking among the ancient Roman ruins today feels like stepping back in time. Imagining the lives of those who once walked these streets - humbling reminder of our shared human journey.  #RomanEmpire #Archaeology,https://raw.githubusercontent.com/catiaalves/dice_disgust_mediation/main/10.david_media.avif,36,28,14,DavidRod,David Rodriguez,Archaeologist based in Italy | Expert in hieroglyphs |Outdoor enthusiast & Landscape photographer,https://raw.githubusercontent.com/catiaalves/dice_disgust_mediation/main/10.david_user.avif,954,0,,B,10,filler2
21,3/20/2024 9:15,Today I completed a marathon of books that were recommended by a friend working in the tech industry. All of them were extremely insightful but I have to admit that 'Exponential Organizations' stood out. A must-read for anyone looking to thrive in an era of constant change! #futureorganizations ,https://raw.githubusercontent.com/catiaalves/dice_disgust_mediation/main/1.john_media.avif,46,0,3,JohnP,John Parker,"An accountant by day, fashion enthusiast by night. Always trying to learn something new and see things from different angles. ",https://raw.githubusercontent.com/catiaalves/dice_disgust_mediation/main/1.john_user.avif,543,0,,C,1,filler1
22,3/20/2024 11:21,"Yesterday, I was having lunch with a group of friends at a local restaurant near my place. Then I went to the bathroom and found it to be well-arranged. It got me thinking about making some changes to my own bathroom at home. #Bathroom",https://raw.githubusercontent.com/catiaalves/dice_disgust_mediation/main/2N.barbara_media_control.jpg,54,18,35,BarbaraSmith,Barbara Smith,"Zodiac expert | Yoga professor | Life isn't about waiting for the storm to pass, it's about learning to dance in the rain. ",https://raw.githubusercontent.com/catiaalves/dice_disgust_mediation/main/2.barbara_user.avif,713,0,,C,2,control_barbara
23,3/20/2024 15:12,Hong Kong attracts 24 applicants for crypto exchange permits. The city is seeking to foster a regulated hub for digital assets.#technology #crypto,https://raw.githubusercontent.com/catiaalves/dice_disgust_mediation/main/4.bloomberg_media.avif,94,14,16,Bloomberg,Bloomberg,"Connecting decision makers to a dynamic network of information, people and ideas.",https://raw.githubusercontent.com/catiaalves/dice_disgust_mediation/main/4.bloomberg_user.jpg,720393,0,,C,3,bloomberg
24,3/20/2024 17:00,Research has shown that 75% of mental health problems emerge before the age of 18. Find out how experts are analysing the brain's development from infancy through to adolescence. #mentalhealth #brain,https://raw.githubusercontent.com/catiaalves/dice_disgust_mediation/main/3.oxford_media.avif,101,12,3,UniofOxford,University of Oxford,"Welcome to our official account. Follow for the latest news, research and updates about life at Oxford.",https://raw.githubusercontent.com/catiaalves/dice_disgust_mediation/main/3.oxford_user.jpg,993839,0,,C,4,oxford
25,3/20/2024 17:14,The AI era. The Angstrom era. The_____era. What's next for the world and for us? Give us your guesses below.,https://raw.githubusercontent.com/catiaalves/dice_disgust_mediation/main/5.intel_media.jpg,61,3,40,Intel,Intel,"Intel news, views & events about global tech innovation. Looking for support? Tweet @IntelSupport",https://raw.githubusercontent.com/catiaalves/dice_disgust_mediation/main/5.intel_user.png,4900846,0,,C,5,intel
26,3/21/2024 9:11,Just moved into my student residence and encountered a persistent delightful smell. I walked around the corner and stumbled upon these fresh flowers…it was a good start! #studentlife,https://raw.githubusercontent.com/catiaalves/dice_disgust_mediation/main/6N.mark_media_control2.jpg,15,1,10,MarkTaylor20,Mark Taylor,Psychology student exploring the intricate layers of human behavior. Enthusiast of both the mind and the canvas. #Psychology #Art #Humanity,https://raw.githubusercontent.com/catiaalves/dice_disgust_mediation/main/6.mark_user.jpg,294,0,,C,6,control_mark
27,3/21/2024 11:32,"Summit Series is built to stand the tests of nature and time. It’s developed for the best, when the best are at their limit.
Shop Summit Series",https://raw.githubusercontent.com/catiaalves/dice_disgust_mediation/main/8.northface_media.jfif,101,19,2,Thenorthface,The North Face,Official home of The North Face. #NeverStopExploring,https://raw.githubusercontent.com/catiaalves/dice_disgust_mediation/main/8.northface_user.jpg,557400,0,,C,7,northface
28,3/21/2024 12:15,Dream a little dream of Pure Cool Me™. Purified air to cool you at night with our latest air projection technology. Set the sleep timer so you can keep cool and comfortable while you rest.,https://raw.githubusercontent.com/catiaalves/dice_disgust_mediation/main/9.dyson_media.jfif,32,8,3,Dyson,Dyson,We’re here to share news and updates about Dyson technology. Please tweet 'AskDyson' for customer support.,https://raw.githubusercontent.com/catiaalves/dice_disgust_mediation/main/9.dyson_user.png,91300,0,,C,8,dyson
29,3/21/2024 14:41,"Today, we reflect on the efforts we have already made to reduce our impact on the environment and focus on how we can do more.
#EverydayHeroes #WeDeliverPromises",https://raw.githubusercontent.com/catiaalves/dice_disgust_mediation/main/7.yodel_media.jfif,1,2,9,YodelOnline,Yodel,Track your parcel at http://yodel.co.uk. Download the Yodel app today and see a two-hour delivery window and a delivered image for every parcel delivered to a door.,https://raw.githubusercontent.com/catiaalves/dice_disgust_mediation/main/7.yodel_user.jpg,70700,0,,C,9,yodel
30,3/21/2024 20:12,Walking among the ancient Roman ruins today feels like stepping back in time. Imagining the lives of those who once walked these streets - humbling reminder of our shared human journey.  #RomanEmpire #Archaeology,https://raw.githubusercontent.com/catiaalves/dice_disgust_mediation/main/10.david_media.avif,36,28,14,DavidRod,David Rodriguez,Archaeologist based in Italy | Expert in hieroglyphs |Outdoor enthusiast & Landscape photographer,https://raw.githubusercontent.com/catiaalves/dice_disgust_mediation/main/10.david_user.avif,954,0,,C,10,filler2
31,3/20/2024 9:15,Today I completed a marathon of books that were recommended by a friend working in the tech industry. All of them were extremely insightful but I have to admit that 'Exponential Organizations' stood out. A must-read for anyone looking to thrive in an era of constant change! #futureorganizations ,https://raw.githubusercontent.com/catiaalves/dice_disgust_mediation/main/1.john_media.avif,46,0,3,JohnP,John Parker,"An accountant by day, fashion enthusiast by night. Always trying to learn something new and see things from different angles. ",https://raw.githubusercontent.com/catiaalves/dice_disgust_mediation/main/1.john_user.avif,543,0,,D,1,filler1
32,3/20/2024 11:21,Just moved into my student residence and encountered a persistent delightful smell. I walked around the corner and stumbled upon these fresh flowers…it was a good start! #studentlife,https://raw.githubusercontent.com/catiaalves/dice_disgust_mediation/main/6N.mark_media_control2.jpg,15,1,10,MarkTaylor20,Mark Taylor,Psychology student exploring the intricate layers of human behavior. Enthusiast of both the mind and the canvas. #Psychology #Art #Humanity,https://raw.githubusercontent.com/catiaalves/dice_disgust_mediation/main/6.mark_user.jpg,294,0,,D,2,control_mark
33,3/20/2024 15:12,Hong Kong attracts 24 applicants for crypto exchange permits. The city is seeking to foster a regulated hub for digital assets.#technology #crypto,https://raw.githubusercontent.com/catiaalves/dice_disgust_mediation/main/4.bloomberg_media.avif,94,14,16,Bloomberg,Bloomberg,"Connecting decision makers to a dynamic network of information, people and ideas.",https://raw.githubusercontent.com/catiaalves/dice_disgust_mediation/main/4.bloomberg_user.jpg,720393,0,,D,3,bloomberg
34,3/20/2024 17:00,Research has shown that 75% of mental health problems emerge before the age of 18. Find out how experts are analysing the brain's development from infancy through to adolescence. #mentalhealth #brain,https://raw.githubusercontent.com/catiaalves/dice_disgust_mediation/main/3.oxford_media.avif,101,12,3,UniofOxford,University of Oxford,"Welcome to our official account. Follow for the latest news, research and updates about life at Oxford.",https://raw.githubusercontent.com/catiaalves/dice_disgust_mediation/main/3.oxford_user.jpg,993839,0,,D,4,oxford
35,3/20/2024 17:14,The AI era. The Angstrom era. The_____era. What's next for the world and for us? Give us your guesses below.,https://raw.githubusercontent.com/catiaalves/dice_disgust_mediation/main/5.intel_media.jpg,61,3,40,Intel,Intel,"Intel news, views & events about global tech innovation. Looking for support? Tweet @IntelSupport",https://raw.githubusercontent.com/catiaalves/dice_disgust_mediation/main/5.intel_user.png,4900846,0,,D,5,intel
36,3/21/2024 9:11,"Yesterday, I was having lunch with a group of friends at a local restaurant near my place. Then I went to the bathroom and found it to be well-arranged. It got me thinking about making some changes to my own bathroom at home. #Bathroom",https://raw.githubusercontent.com/catiaalves/dice_disgust_mediation/main/2N.barbara_media_control.jpg,54,18,35,BarbaraSmith,Barbara Smith,"Zodiac expert | Yoga professor | Life isn't about waiting for the storm to pass, it's about learning to dance in the rain. ",https://raw.githubusercontent.com/catiaalves/dice_disgust_mediation/main/2.barbara_user.avif,713,0,,D,6,control_barbara
37,3/21/2024 11:32,"Summit Series is built to stand the tests of nature and time. It’s developed for the best, when the best are at their limit.
Shop Summit Series",https://raw.githubusercontent.com/catiaalves/dice_disgust_mediation/main/8.northface_media.jfif,101,19,2,Thenorthface,The North Face,Official home of The North Face. #NeverStopExploring,https://raw.githubusercontent.com/catiaalves/dice_disgust_mediation/main/8.northface_user.jpg,557400,0,,D,7,northface
38,3/21/2024 12:15,Dream a little dream of Pure Cool Me™. Purified air to cool you at night with our latest air projection technology. Set the sleep timer so you can keep cool and comfortable while you rest.,https://raw.githubusercontent.com/catiaalves/dice_disgust_mediation/main/9.dyson_media.jfif,32,8,3,Dyson,Dyson,We’re here to share news and updates about Dyson technology. Please tweet 'AskDyson' for customer support.,https://raw.githubusercontent.com/catiaalves/dice_disgust_mediation/main/9.dyson_user.png,91300,0,,D,8,dyson
39,3/21/2024 14:41,"Today, we reflect on the efforts we have already made to reduce our impact on the environment and focus on how we can do more.
#EverydayHeroes #WeDeliverPromises",https://raw.githubusercontent.com/catiaalves/dice_disgust_mediation/main/7.yodel_media.jfif,1,2,9,YodelOnline,Yodel,Track your parcel at http://yodel.co.uk. Download the Yodel app today and see a two-hour delivery window and a delivered image for every parcel delivered to a door.,https://raw.githubusercontent.com/catiaalves/dice_disgust_mediation/main/7.yodel_user.jpg,70700,0,,D,9,yodel
40,3/21/2024 20:12,Walking among the ancient Roman ruins today feels like stepping back in time. Imagining the lives of those who once walked these streets - humbling reminder of our shared human journey.  #RomanEmpire #Archaeology,https://raw.githubusercontent.com/catiaalves/dice_disgust_mediation/main/10.david_media.avif,36,28,14,DavidRod,David Rodriguez,Archaeologist based in Italy | Expert in hieroglyphs |Outdoor enthusiast & Landscape photographer,https://raw.githubusercontent.com/catiaalves/dice_disgust_mediation/main/10.david_user.avif,954,0,,D,10,filler2
